"key","message","comment","context"
"My completed trainings","Мои завершенные тренинги",,
"My training filters",,,
"My upcoming appraisal","Мои предстоящие оценки",,
"My upcoming trainings","Мои предстоящие тренинги",,
"Name","название",,
"Nb Employee","Количество Сотрудников",,
"Nb Hours","Nb Часов",,
"Nb of open jobs","Количество открытых вакансий",,
"Nb of people hired","Количество нанятых людей",,
"Nb of training hours per month","Количество учебных часов в месяц",,
"Nb. hours per category","Количество часов по категориям",,
"Nb. hours per training","Количество часов на обучение",,
"Nb. of trained employee per category","Количество обученных сотрудников по категориям",,
"New appraisal","новые оценки",,
"No Training register is generated because selected employees don't have any user.","Регистрация на обучение не создается, поскольку у выбранных сотрудников нет пользователей.",,
"No resume found","Резюме не найдено",,
"Note",,,
"Number of hours","Количество часов",,
"Number of registredred to the session","количество зарегистрированных на сессии",,
"Objectives","План",,
"On hold","Ожидающий",,
"Open","Открытый",,
"Overall rating","Общий рейтинг",,
"Overall rating to apply","Общая оценка для применения",,
"Photo",,,
"Planned","Запланированный",,
"Position Status","Статус должности",,
"Primary Address","Основной адрес",,
"Profile details","Сведения о",,
"Profile wanted","профиле искомый профиль",,
"Program","Программа",,
"Proposed salary","Предлагаемая зарплата",,
"Publication Date","Дата публикации",,
"Rating","Оценка",,
"Realize","Понять",,
"Reason not hired","причину отказа в приеме на работу",,
"Recruitment","Подбор",,
"Recruitment management","персонала управление подбором",,
"Referred by","персонала референт",,
"Register","Зарегистрироваться",,
"Register training","регистрация на обучение",,
"Requested","Требуемый",,
"Required training","Требуемое обучение",,
"Reviewer","Ответственный за оценку",,
"Salary","Заработная плата",,
"Schedule Event","Запланированное мероприятие",,
"Send","Отправить",,
"Sent","Посланный",,
"Sequence","Последовательность",,
"Session",,,
"Set a hiring manager to create a job application.","Пожалуйста, укажите менеджера, чтобы создать заявку.",,
"Skill","Навык",,
"Skills","Полномочия",,
"Skills tag","Полномочия",,
"Source","Происхождение",,
"Starting date","Вступление в должность",,
"Status","Статус",,
"Tag skill","Полномочия",,
"Tag skills","Полномочия",,
"Technicien",,,
"Title","Заголовок",,
"To","От",,
"To date","Дата окончания",,
"Tools","инструменты",,
"Total",,,
"Training","Отложения","Parent menu for training App (sub app)",
"Training Categories","Категории",,
"Training Category","Категория обучения",,
"Training Register","зачисление на",,
"Training completed","обучение пройденное обучение",,
"Training dashboard","Информационная панель управления обучением",,
"Training dates must be under training session date range.","Даты обучения должны быть включены в даты проведения тренингов.",,
"Training filters","Фильтры обучение",,
"Training per category","Обучение по категориям",,
"Training register","зачисление на обучение",,
"Training register list","список зачислений на обучение",,
"Training registers","зачисления на обучение",,
"Training session","Учебные занятия учебные",,
"Training sessions","занятия",,
"Training skill","Приобретенный навык",,
"Training skills","Приобретенные навыки",,
"Trainings","Отложения","To create trainings ""template"" with a name, a description, a program, skills... ",
"Type",,,
"Type of appraisal","Тип оценки",,
"Upcoming appraisal","Предстоящие оценки",,
"Upcoming appraisals of all employees of a team","Предстоящие оценки от моей команды",,
"Upcoming trainings of all employees of a team","Предстоящие тренировки моей команды",,
"Update all rating","Сдвиг всех заметок",,
"Validity duration","Срок действия",,
"Work experience","Практический опыт работы",,
"jobposition.companyDepartment","Услуги",,
"user@mydomain.com",,,
"value:Appraisal","Оценка",,
"value:Recruitment","Вербовка",,
"value:Training","Отложения",,
